Item_Identifier,Item_Weight,Item_Fat_Content,Item_Visibility,Item_Type,Item_MRP,Outlet_Age,Outlet_Size,Outlet_Location_Type,Outlet_Type
DR,14.5,Low Fat,0.062337196,Dairy,152.4998,16,,Tier 2,Supermarket Type1
FD,,Low Fat,0.015197838,others,89.7146,38,Medium,Tier 3,Supermarket Type3
FD,5.845,Regular,0.175778605,Frozen Foods,214.9218,25,,Tier 3,Grocery Store
FD,20.5,Low Fat,0.119361811,Baking Goods,107.8596,26,Small,Tier 1,Supermarket Type1
DR,14.5,Low Fat,0.062112285,Dairy,154.2998,21,,Tier 2,Supermarket Type1
FD,5.785,Regular,0.038914743,Fruits and Vegetables,264.0252,14,Medium,Tier 3,Supermarket Type2
FD,7.63,Regular,0.134982959,snacks_breakfast_type,45.2402,21,,Tier 2,Supermarket Type1
DR,18.75,Low Fat,0.023835413,Dairy,99.1042,19,Small,Tier 2,Supermarket Type1
FD,9.695,Regular,0.0,snacks_breakfast_type,223.1114,26,Small,Tier 1,Supermarket Type1
DR,19.35,Regular,0.040009212,Drinks,163.2868,21,,Tier 2,Supermarket Type1
FD,11.8,Regular,0.026398984,others,38.9138,24,Medium,Tier 1,Supermarket Type1
FD,17.75,Regular,0.037856364,Baking Goods,154.3656,36,High,Tier 3,Supermarket Type1
FD,9.285,Regular,0.021092185,snacks_breakfast_type,160.8578,14,Medium,Tier 3,Supermarket Type2
FD,18.35,Low Fat,0.099109001,Fruits and Vegetables,92.9462,26,Small,Tier 1,Supermarket Type1
NC,12.0,Low Fat,0.104441517,others,261.7278,21,,Tier 2,Supermarket Type1
DR,7.02,Low Fat,0.05006853,Dairy,84.025,14,Medium,Tier 3,Supermarket Type2
NC,8.6,Low Fat,0.090701591,others,114.2176,16,,Tier 2,Supermarket Type1
DR,10.195,Low Fat,0.112131275,Drinks,112.086,36,High,Tier 3,Supermarket Type1
DR,8.89,Low Fat,0.104601689,Dairy,42.3138,38,Medium,Tier 3,Supermarket Type3
FD,20.1,Regular,0.054330154,Fruits and Vegetables,191.482,38,Medium,Tier 3,Supermarket Type3
FD,7.02,Low Fat,0.081164178,Fruits and Vegetables,146.7734,26,Small,Tier 1,Supermarket Type1
NC,20.1,Low Fat,0.034793779,others,119.8782,14,Medium,Tier 3,Supermarket Type2
FD,21.1,Regular,0.036275691,snacks_breakfast_type,129.5994,38,Small,Tier 1,Grocery Store
NC,15.6,Low Fat,0.066861456,others,185.7924,21,,Tier 2,Supermarket Type1
FD,11.15,Regular,0.008292773,Dairy,152.2708,24,Medium,Tier 1,Supermarket Type1
FD,20.35,Regular,0.151379828,Meat,80.1276,21,,Tier 2,Supermarket Type1
NC,9.1,Low Fat,0.079904068,others,47.5718,38,Medium,Tier 3,Supermarket Type3
NC,9.11,Low Fat,0.038295533,others,32.39,38,Medium,Tier 3,Supermarket Type3
FD,10.695,Low Fat,0.0,Frozen Foods,57.8904,19,Small,Tier 2,Supermarket Type1
FD,10.85,Low Fat,0.162494861,snacks_breakfast_type,104.5622,24,Medium,Tier 1,Supermarket Type1
FD,9.17,Low Fat,0.102480138,Baking Goods,142.747,38,Medium,Tier 3,Supermarket Type3
DR,6.28,Low Fat,0.048508058,Drinks,86.1198,38,Small,Tier 1,Grocery Store
NC,18.5,Low Fat,0.059432784,others,133.0284,38,Small,Tier 1,Grocery Store
FD,15.7,Low Fat,0.045195307,Frozen Foods,180.766,19,Small,Tier 2,Supermarket Type1
FD,8.51,Regular,0.078847814,snacks_breakfast_type,171.5422,16,,Tier 2,Supermarket Type1
FD,8.63,Regular,0.028253161,others,170.4422,36,High,Tier 3,Supermarket Type1
FD,5.44,Low Fat,0.042648161,Dairy,241.5538,25,,Tier 3,Grocery Store
DR,15.35,Low Fat,0.020358565,Drinks,216.5508,24,Medium,Tier 1,Supermarket Type1
FD,12.5,Regular,0.081356869,Fruits and Vegetables,90.2488,38,Medium,Tier 3,Supermarket Type3
NC,9.6,Low Fat,0.024472537,others,187.2214,19,Small,Tier 2,Supermarket Type1
NC,6.095,Low Fat,0.081129049,others,143.8154,36,High,Tier 3,Supermarket Type1
DR,7.39,Low Fat,0.082704564,Drinks,189.053,16,,Tier 2,Supermarket Type1
DR,17.25,Low Fat,0.084332638,Drinks,262.091,26,Small,Tier 1,Supermarket Type1
NC,17.35,Low Fat,0.167643297,others,177.1712,24,Medium,Tier 1,Supermarket Type1
FD,7.3,Low Fat,0.08648324,Frozen Foods,148.9076,14,Medium,Tier 3,Supermarket Type2
FD,19.0,Regular,0.097232147,Frozen Foods,47.8718,36,High,Tier 3,Supermarket Type1
FD,17.0,Regular,0.015952023,snacks_breakfast_type,227.3352,36,High,Tier 3,Supermarket Type1
FD,9.3,Regular,0.033574204,Meat,155.7314,14,Medium,Tier 3,Supermarket Type2
NC,6.26,Low Fat,0.05501583,others,111.8228,38,Small,Tier 1,Grocery Store
FD,6.155,Regular,0.094641972,Meat,212.056,19,Small,Tier 2,Supermarket Type1
FD,6.15,Low Fat,0.046532678,Baking Goods,97.2384,16,,Tier 2,Supermarket Type1
FD,14.35,Low Fat,0.080719435,Baking Goods,80.996,24,Medium,Tier 1,Supermarket Type1
FD,17.6,Regular,0.076107437,Meat,113.0202,19,Small,Tier 2,Supermarket Type1
FD,12.6,Regular,0.022014451,Fruits and Vegetables,248.2092,21,,Tier 2,Supermarket Type1
FD,13.65,Regular,0.308258994,others,213.0902,25,,Tier 3,Grocery Store
FD,10.695,Regular,0.086708987,snacks_breakfast_type,154.6972,36,High,Tier 3,Supermarket Type1
FD,7.905,Low Fat,0.010068952,snacks_breakfast_type,249.4408,16,,Tier 2,Supermarket Type1
NC,12.85,Low Fat,0.093573569,others,182.4608,38,Small,Tier 1,Grocery Store
FD,19.2,Low Fat,0.035256945,snacks_breakfast_type,181.7318,21,,Tier 2,Supermarket Type1
NC,5.4,Low Fat,0.048116258,others,164.9526,26,Small,Tier 1,Supermarket Type1
FD,12.3,Low Fat,0.021950037,Frozen Foods,190.7162,14,Medium,Tier 3,Supermarket Type2
FD,9.3,Low Fat,0.043053682,Fruits and Vegetables,87.6172,21,,Tier 2,Supermarket Type1
FD,10.5,Low Fat,0.041564073,Fruits and Vegetables,38.4164,14,Medium,Tier 3,Supermarket Type2
FD,12.6,Low Fat,0.087947879,Fruits and Vegetables,109.9228,16,,Tier 2,Supermarket Type1
NC,21.25,Low Fat,0.113780055,others,234.93,24,Medium,Tier 1,Supermarket Type1
FD,11.8,Regular,0.171246685,others,116.5834,16,,Tier 2,Supermarket Type1
FD,8.89,Regular,0.038852056,Baking Goods,209.5296,38,Medium,Tier 3,Supermarket Type3
DR,8.365,Low Fat,0.072139167,Drinks,36.7506,14,Medium,Tier 3,Supermarket Type2
FD,7.6,Regular,0.249342884,Starchy Foods,168.5448,38,Small,Tier 1,Grocery Store
NC,18.75,Low Fat,0.052031075,others,106.228,19,Small,Tier 2,Supermarket Type1
FD,13.15,Regular,0.037921193,snacks_breakfast_type,87.3856,36,High,Tier 3,Supermarket Type1
NC,6.13,Low Fat,0.047404371,others,109.3912,25,,Tier 3,Grocery Store
FD,19.75,Regular,0.0,Frozen Foods,179.666,26,Small,Tier 1,Supermarket Type1
NC,20.25,Low Fat,0.058650124,others,247.846,38,Medium,Tier 3,Supermarket Type3
FD,6.425,Low Fat,0.093377128,Fruits and Vegetables,174.6712,36,High,Tier 3,Supermarket Type1
FD,8.31,Regular,0.115581112,snacks_breakfast_type,177.5028,36,High,Tier 3,Supermarket Type1
FD,16.5,Regular,0.0,others,102.299,36,High,Tier 3,Supermarket Type1
FD,10.395,Low Fat,0.112097216,snacks_breakfast_type,59.022,26,Small,Tier 1,Supermarket Type1
FD,13.85,Regular,0.085204025,Meat,118.9124,36,High,Tier 3,Supermarket Type1
FD,10.39,Low Fat,0.030012644,Baking Goods,116.1176,38,Medium,Tier 3,Supermarket Type3
FD,5.305,Regular,0.0470198,Meat,182.7608,19,Small,Tier 2,Supermarket Type1
FD,15.0,Regular,0.04492594,Baking Goods,221.9456,25,,Tier 3,Grocery Store
FD,9.5,Regular,0.048449768,Starchy Foods,185.5898,38,Medium,Tier 3,Supermarket Type3
DR,8.01,Low Fat,0.069907412,Drinks,36.9532,38,Medium,Tier 3,Supermarket Type3
FD,13.65,Regular,0.184132888,others,214.0902,19,Small,Tier 2,Supermarket Type1
FD,10.65,Low Fat,0.040123315,Fruits and Vegetables,54.6272,25,,Tier 3,Grocery Store
DR,10.1,Low Fat,0.046575743,Drinks,62.1878,19,Small,Tier 2,Supermarket Type1
FD,20.6,Low Fat,0.023452939,Fruits and Vegetables,93.6778,26,Small,Tier 1,Supermarket Type1
FD,10.3,Regular,0.024896589,Baking Goods,173.2422,26,Small,Tier 1,Supermarket Type1
NC,6.26,Low Fat,0.031416038,others,112.5228,19,Small,Tier 2,Supermarket Type1
FD,7.485,Low Fat,0.06912372,snacks_breakfast_type,109.2228,26,Small,Tier 1,Supermarket Type1
FD,18.1,Low Fat,0.177820954,Dairy,155.7288,36,High,Tier 3,Supermarket Type1
FD,8.3,Low Fat,0.061900923,Fruits and Vegetables,37.8506,38,Small,Tier 1,Grocery Store
FD,5.8,Low Fat,0.0,Dairy,88.8172,24,Medium,Tier 1,Supermarket Type1
FD,13.3,Low Fat,0.021255857,Baking Goods,119.1124,36,High,Tier 3,Supermarket Type1
FD,,Low Fat,0.071948252,Fruits and Vegetables,48.8034,38,Medium,Tier 3,Supermarket Type3
FD,15.85,Regular,0.007175526,snacks_breakfast_type,40.848,14,Medium,Tier 3,Supermarket Type2
FD,12.6,Regular,0.06239666,Frozen Foods,101.999,38,Medium,Tier 3,Supermarket Type3
FD,,Low Fat,0.058112049,snacks_breakfast_type,45.5744,38,Medium,Tier 3,Supermarket Type3
FD,11.6,Low Fat,0.02970149,others,179.3686,25,,Tier 3,Grocery Store
FD,9.6,Regular,0.027498277,snacks_breakfast_type,260.2304,16,,Tier 2,Supermarket Type1
DR,4.59,Low Fat,0.071180921,Drinks,114.186,16,,Tier 2,Supermarket Type1
FD,21.35,Low Fat,0.077679213,Fruits and Vegetables,97.2094,36,High,Tier 3,Supermarket Type1
FD,7.52,Regular,0.073685833,Baking Goods,183.895,25,,Tier 3,Grocery Store
NC,15.7,Low Fat,0.160632642,others,57.8562,19,Small,Tier 2,Supermarket Type1
FD,15.7,Regular,0.018914599,Fruits and Vegetables,59.6536,36,High,Tier 3,Supermarket Type1
FD,17.0,Regular,0.01596229,snacks_breakfast_type,230.8352,19,Small,Tier 2,Supermarket Type1
FD,14.75,Low Fat,0.089322461,snacks_breakfast_type,112.2518,26,Small,Tier 1,Supermarket Type1
FD,8.1,Regular,0.134595967,others,38.448,21,,Tier 2,Supermarket Type1
FD,18.2,Regular,0.0,Baking Goods,243.0196,24,Medium,Tier 1,Supermarket Type1
NC,17.1,Low Fat,0.03879778,others,166.3842,24,Medium,Tier 1,Supermarket Type1
FD,5.84,Regular,0.0,Frozen Foods,213.7218,38,Small,Tier 1,Grocery Store
FD,5.26,Regular,0.041772386,Baking Goods,165.0868,26,Small,Tier 1,Supermarket Type1
FD,6.035,Regular,0.065886059,Baking Goods,184.924,24,Medium,Tier 1,Supermarket Type1
FD,17.35,Regular,0.027666863,others,87.9856,21,,Tier 2,Supermarket Type1
NC,12.15,Low Fat,0.079416624,others,36.2506,19,Small,Tier 2,Supermarket Type1
FD,16.85,Low Fat,0.044504129,Fruits and Vegetables,183.5266,21,,Tier 2,Supermarket Type1
FD,11.15,Regular,0.085915295,snacks_breakfast_type,170.779,19,Small,Tier 2,Supermarket Type1
FD,16.75,Low Fat,0.060888099,Dairy,171.9106,16,,Tier 2,Supermarket Type1
FD,19.35,Regular,0.07707176,snacks_breakfast_type,112.8518,14,Medium,Tier 3,Supermarket Type2
FD,7.75,Low Fat,0.043306047,Baking Goods,95.3436,24,Medium,Tier 1,Supermarket Type1
FD,19.75,Low Fat,0.034081551,snacks_breakfast_type,211.7902,16,,Tier 2,Supermarket Type1
FD,16.7,Regular,0.05215787,Frozen Foods,114.4176,38,Medium,Tier 3,Supermarket Type3
FD,7.59,Regular,0.0,Fruits and Vegetables,172.808,16,,Tier 2,Supermarket Type1
DR,8.775,Low Fat,0.110532975,Dairy,44.2428,16,,Tier 2,Supermarket Type1
FD,13.6,Regular,0.119176431,Dairy,233.93,26,Small,Tier 1,Supermarket Type1
FD,7.55,Low Fat,0.027038245,others,151.834,38,Medium,Tier 3,Supermarket Type3
FD,13.35,Low Fat,0.108714206,Baking Goods,93.2804,25,,Tier 3,Grocery Store
FD,12.65,Low Fat,0.03538128,Baking Goods,230.701,36,High,Tier 3,Supermarket Type1
NC,6.635,Low Fat,0.027124299,others,172.9396,21,,Tier 2,Supermarket Type1
FD,20.1,Regular,0.095344543,Frozen Foods,152.3366,38,Small,Tier 1,Grocery Store
FD,5.155,Low Fat,0.08318261,Frozen Foods,248.8776,19,Small,Tier 2,Supermarket Type1
FD,21.0,Low Fat,0.049405001,snacks_breakfast_type,192.8478,21,,Tier 2,Supermarket Type1
NC,12.5,Low Fat,0.006803416,others,40.8112,16,,Tier 2,Supermarket Type1
FD,8.785,Low Fat,0.026073405,Fruits and Vegetables,121.4414,14,Medium,Tier 3,Supermarket Type2
FD,15.2,Regular,0.103939618,Fruits and Vegetables,173.6054,24,Medium,Tier 1,Supermarket Type1
FD,19.7,Low Fat,0.078231229,Baking Goods,181.466,14,Medium,Tier 3,Supermarket Type2
FD,10.5,Low Fat,0.087966875,Frozen Foods,91.583,25,,Tier 3,Grocery Store
FD,6.385,Regular,0.124214471,snacks_breakfast_type,35.5874,14,Medium,Tier 3,Supermarket Type2
FD,8.1,Regular,0.019880322,others,88.0198,16,,Tier 2,Supermarket Type1
FD,10.5,Regular,0.041829904,Fruits and Vegetables,217.8508,25,,Tier 3,Grocery Store
DR,8.67,Low Fat,0.065538317,Drinks,141.8128,24,Medium,Tier 1,Supermarket Type1
FD,17.85,Low Fat,0.046729336,Meat,152.5682,21,,Tier 2,Supermarket Type1
FD,17.5,Low Fat,0.0,Fruits and Vegetables,186.0266,38,Small,Tier 1,Grocery Store
DR,10.8,Low Fat,0.058150483,Drinks,74.138,38,Medium,Tier 3,Supermarket Type3
NC,7.685,Low Fat,0.025517058,others,147.476,24,Medium,Tier 1,Supermarket Type1
FD,16.5,Regular,0.0,snacks_breakfast_type,183.7292,38,Small,Tier 1,Grocery Store
FD,7.285,Low Fat,0.050167414,Dairy,156.9288,14,Medium,Tier 3,Supermarket Type2
FD,13.35,Low Fat,0.102015088,Dairy,227.2352,38,Medium,Tier 3,Supermarket Type3
FD,11.1,Low Fat,0.110651177,Fruits and Vegetables,192.7846,19,Small,Tier 2,Supermarket Type1
NC,19.6,Low Fat,0.094352624,others,253.8698,21,,Tier 2,Supermarket Type1
FD,6.76,Regular,0.029027743,Fruits and Vegetables,81.396,24,Medium,Tier 1,Supermarket Type1
FD,12.0,Regular,0.020494302,Meat,101.2042,14,Medium,Tier 3,Supermarket Type2
FD,9.285,Regular,0.021125435,snacks_breakfast_type,159.7578,16,,Tier 2,Supermarket Type1
NC,11.39,Low Fat,0.009830622,others,48.9034,38,Medium,Tier 3,Supermarket Type3
FD,4.905,Low Fat,0.0,others,197.7768,26,Small,Tier 1,Supermarket Type1
NC,18.2,Low Fat,0.058559885,others,222.6456,24,Medium,Tier 1,Supermarket Type1
NC,10.3,Low Fat,0.117169698,others,156.163,21,,Tier 2,Supermarket Type1
FD,19.85,Low Fat,0.005256469,Dairy,264.0884,14,Medium,Tier 3,Supermarket Type2
NC,18.0,Low Fat,0.025860761,others,157.1604,25,,Tier 3,Grocery Store
NC,7.565,Low Fat,0.054949947,others,54.993,16,,Tier 2,Supermarket Type1
FD,6.05,Low Fat,0.054457963,Fruits and Vegetables,158.8578,38,Small,Tier 1,Grocery Store
FD,16.0,Regular,0.098790484,Frozen Foods,85.8856,38,Medium,Tier 3,Supermarket Type3
FD,8.115,Regular,0.032289868,others,157.6972,14,Medium,Tier 3,Supermarket Type2
FD,8.8,Low Fat,0.071429389,snacks_breakfast_type,207.4612,26,Small,Tier 1,Supermarket Type1
FD,10.395,Regular,0.036876003,Meat,228.3352,19,Small,Tier 2,Supermarket Type1
DR,11.8,Low Fat,0.201643565,Drinks,197.7084,38,Small,Tier 1,Grocery Store
FD,7.725,Low Fat,0.079978878,others,248.3092,25,,Tier 3,Grocery Store
FD,9.3,Low Fat,0.066783292,Frozen Foods,183.0292,26,Small,Tier 1,Supermarket Type1
FD,5.94,Regular,0.029347924,snacks_breakfast_type,188.4556,36,High,Tier 3,Supermarket Type1
FD,6.055,Low Fat,0.0,Fruits and Vegetables,160.1578,36,High,Tier 3,Supermarket Type1
FD,14.0,Regular,0.0,Frozen Foods,155.6656,14,Medium,Tier 3,Supermarket Type2
FD,12.15,Low Fat,0.018447852,Frozen Foods,252.6698,21,,Tier 2,Supermarket Type1
NC,12.0,Low Fat,0.103725396,others,261.7278,38,Medium,Tier 3,Supermarket Type3
NC,11.15,Low Fat,0.073307104,others,65.2142,36,High,Tier 3,Supermarket Type1
FD,15.5,Regular,0.168661356,Fruits and Vegetables,195.8768,25,,Tier 3,Grocery Store
NC,17.7,Low Fat,0.051018257,others,125.2678,24,Medium,Tier 1,Supermarket Type1
FD,13.85,Regular,0.085258864,Meat,116.8124,19,Small,Tier 2,Supermarket Type1
FD,18.7,Low Fat,0.057489563,Dairy,84.7566,36,High,Tier 3,Supermarket Type1
FD,16.1,Low Fat,0.034446714,Fruits and Vegetables,253.3356,14,Medium,Tier 3,Supermarket Type2
FD,10.5,Low Fat,0.071198613,Frozen Foods,120.6098,36,High,Tier 3,Supermarket Type1
FD,7.725,Low Fat,0.047857249,others,249.2092,24,Medium,Tier 1,Supermarket Type1
FD,11.1,Low Fat,0.135116764,snacks_breakfast_type,220.4482,19,Small,Tier 2,Supermarket Type1
NC,10.89,Low Fat,0.047357161,others,51.9666,38,Small,Tier 1,Grocery Store
FD,14.85,Regular,0.054056872,Baking Goods,123.2072,14,Medium,Tier 3,Supermarket Type2
FD,13.0,Regular,0.083854075,others,198.7426,14,Medium,Tier 3,Supermarket Type2
NC,9.06,Low Fat,0.009728926,others,213.656,38,Medium,Tier 3,Supermarket Type3
FD,6.78,Low Fat,0.066756194,Fruits and Vegetables,187.324,21,,Tier 2,Supermarket Type1
FD,6.63,Regular,0.104001913,Baking Goods,168.45,19,Small,Tier 2,Supermarket Type1
NC,18.2,Low Fat,0.164018678,others,44.9086,16,,Tier 2,Supermarket Type1
FD,14.0,Regular,0.060415636,Frozen Foods,153.1656,19,Small,Tier 2,Supermarket Type1
FD,19.5,Low Fat,0.128931187,snacks_breakfast_type,154.6314,16,,Tier 2,Supermarket Type1
FD,7.855,Regular,0.161413005,Baking Goods,35.2848,36,High,Tier 3,Supermarket Type1
FD,7.945,Low Fat,0.01594096,snacks_breakfast_type,163.121,14,Medium,Tier 3,Supermarket Type2
FD,19.85,Low Fat,0.0,Dairy,265.0884,21,,Tier 2,Supermarket Type1
FD,9.8,Low Fat,0.106697143,Fruits and Vegetables,175.637,19,Small,Tier 2,Supermarket Type1
FD,7.075,Low Fat,0.022562708,Frozen Foods,95.9068,19,Small,Tier 2,Supermarket Type1
FD,11.65,Low Fat,0.174319632,Dairy,55.5298,24,Medium,Tier 1,Supermarket Type1
DR,13.0,Regular,0.075295456,Drinks,174.4054,25,,Tier 3,Grocery Store
FD,7.89,Low Fat,0.063266852,Dairy,120.6782,38,Small,Tier 1,Grocery Store
FD,17.5,Low Fat,0.052525654,snacks_breakfast_type,104.399,24,Medium,Tier 1,Supermarket Type1
FD,9.6,Low Fat,0.036285125,Fruits and Vegetables,141.2154,26,Small,Tier 1,Supermarket Type1
NC,8.895,Low Fat,0.12471467,others,111.4544,26,Small,Tier 1,Supermarket Type1
NC,11.395,Low Fat,0.021694101,others,150.0708,14,Medium,Tier 3,Supermarket Type2
FD,15.0,Low Fat,0.046366458,snacks_breakfast_type,119.9414,19,Small,Tier 2,Supermarket Type1
FD,18.2,Low Fat,0.012605492,snacks_breakfast_type,137.818,19,Small,Tier 2,Supermarket Type1
NC,8.42,Low Fat,0.112498699,others,62.8168,21,,Tier 2,Supermarket Type1
FD,8.775,Low Fat,0.021691386,Fruits and Vegetables,110.5228,14,Medium,Tier 3,Supermarket Type2
NC,17.6,Low Fat,0.074046742,others,229.801,38,Medium,Tier 3,Supermarket Type3
FD,7.59,Regular,0.242768664,Fruits and Vegetables,173.708,25,,Tier 3,Grocery Store
DR,18.35,Low Fat,0.033401862,Dairy,152.234,16,,Tier 2,Supermarket Type1
DR,17.25,Low Fat,0.042206477,Dairy,170.2764,36,High,Tier 3,Supermarket Type1
NC,9.195,Low Fat,0.048019877,others,104.2622,36,High,Tier 3,Supermarket Type1
DR,10.1,Low Fat,0.167016095,Drinks,241.5512,36,High,Tier 3,Supermarket Type1
NC,19.2,Low Fat,0.077664737,others,195.511,21,,Tier 2,Supermarket Type1
FD,5.75,Regular,0.075155997,Dairy,114.1176,19,Small,Tier 2,Supermarket Type1
FD,13.65,Low Fat,0.039816816,Frozen Foods,34.1558,19,Small,Tier 2,Supermarket Type1
FD,21.2,Low Fat,0.070964186,snacks_breakfast_type,175.637,14,Medium,Tier 3,Supermarket Type2
FD,9.5,Regular,0.022040367,Meat,194.1452,36,High,Tier 3,Supermarket Type1
NC,19.35,Low Fat,0.027770577,others,63.1168,21,,Tier 2,Supermarket Type1
FD,7.42,Regular,0.025735975,snacks_breakfast_type,187.7872,19,Small,Tier 2,Supermarket Type1
FD,19.0,Low Fat,0.112150406,Frozen Foods,105.2622,21,,Tier 2,Supermarket Type1
FD,11.0,Low Fat,0.105748691,snacks_breakfast_type,123.1046,36,High,Tier 3,Supermarket Type1
FD,15.5,Regular,0.025370468,Baking Goods,81.1934,26,Small,Tier 1,Supermarket Type1
FD,9.8,Regular,0.063508168,Fruits and Vegetables,113.8492,38,Medium,Tier 3,Supermarket Type3
FD,6.92,Low Fat,0.038513862,Dairy,61.5852,24,Medium,Tier 1,Supermarket Type1
FD,7.64,Regular,0.070362085,snacks_breakfast_type,95.112,38,Medium,Tier 3,Supermarket Type3
FD,20.0,Regular,0.028100349,Fruits and Vegetables,46.9744,36,High,Tier 3,Supermarket Type1
FD,10.895,Regular,0.009661057,Dairy,122.973,14,Medium,Tier 3,Supermarket Type2
FD,8.21,Low Fat,0.044708228,Dairy,86.2198,38,Medium,Tier 3,Supermarket Type3
FD,15.6,Regular,0.099297902,Dairy,60.5194,24,Medium,Tier 1,Supermarket Type1
NC,7.93,Low Fat,0.071122419,others,43.7086,19,Small,Tier 2,Supermarket Type1
FD,16.85,Low Fat,0.0,Fruits and Vegetables,185.3266,19,Small,Tier 2,Supermarket Type1
FD,17.75,Regular,0.051920175,Fruits and Vegetables,140.9838,38,Small,Tier 1,Grocery Store
FD,16.0,Low Fat,0.057148803,Dairy,224.3404,24,Medium,Tier 1,Supermarket Type1
FD,6.26,Regular,0.009820129,Meat,152.7366,38,Medium,Tier 3,Supermarket Type3
FD,7.06,Regular,0.044148717,Starchy Foods,56.9904,16,,Tier 2,Supermarket Type1
NC,18.75,Low Fat,0.018148732,others,210.1954,38,Small,Tier 1,Grocery Store
DR,18.35,Low Fat,0.015304311,Drinks,105.7938,26,Small,Tier 1,Supermarket Type1
FD,20.35,Low Fat,0.141816013,snacks_breakfast_type,122.2072,26,Small,Tier 1,Supermarket Type1
FD,7.75,Low Fat,0.04320284,Baking Goods,95.6436,36,High,Tier 3,Supermarket Type1
NC,7.475,Low Fat,0.075727897,others,154.7656,26,Small,Tier 1,Supermarket Type1
NC,10.895,Low Fat,0.020947887,others,257.5672,19,Small,Tier 2,Supermarket Type1
NC,12.6,Low Fat,0.012480591,others,186.2556,25,,Tier 3,Grocery Store
NC,15.25,Low Fat,0.06127993,others,129.6968,24,Medium,Tier 1,Supermarket Type1
FD,16.35,Regular,0.062399603,Fruits and Vegetables,224.7062,19,Small,Tier 2,Supermarket Type1
FD,20.0,Regular,0.104063695,others,104.5622,19,Small,Tier 2,Supermarket Type1
NC,11.3,Low Fat,0.047708667,others,178.366,19,Small,Tier 2,Supermarket Type1
FD,9.27,Low Fat,0.061912597,Dairy,150.105,21,,Tier 2,Supermarket Type1
FD,12.65,Low Fat,0.035611045,Baking Goods,228.301,16,,Tier 2,Supermarket Type1
FD,10.395,Regular,0.091172403,Baking Goods,48.6008,26,Small,Tier 1,Supermarket Type1
FD,7.91,Low Fat,0.009963834,snacks_breakfast_type,250.8408,38,Medium,Tier 3,Supermarket Type3
FD,17.1,Low Fat,0.032694281,Frozen Foods,147.8392,21,,Tier 2,Supermarket Type1
NC,12.15,Low Fat,0.0,others,117.515,38,Small,Tier 1,Grocery Store
FD,15.6,Low Fat,0.025302804,snacks_breakfast_type,176.8054,14,Medium,Tier 3,Supermarket Type2
NC,5.21,Low Fat,0.011027014,others,260.6962,24,Medium,Tier 1,Supermarket Type1
NC,10.7,Low Fat,0.0,others,36.2848,38,Medium,Tier 3,Supermarket Type3
FD,18.5,Low Fat,0.052280828,snacks_breakfast_type,117.3124,14,Medium,Tier 3,Supermarket Type2
FD,20.35,Low Fat,0.083729547,Meat,184.4292,36,High,Tier 3,Supermarket Type1
FD,19.2,Regular,0.094064368,Frozen Foods,187.0214,24,Medium,Tier 1,Supermarket Type1
FD,7.51,Low Fat,0.017527666,Fruits and Vegetables,228.001,16,,Tier 2,Supermarket Type1
FD,21.2,Regular,0.007055259,Starchy Foods,175.4738,21,,Tier 2,Supermarket Type1
FD,17.6,Regular,0.041445492,snacks_breakfast_type,35.219,24,Medium,Tier 1,Supermarket Type1
FD,16.0,Regular,0.172726426,snacks_breakfast_type,156.7972,19,Small,Tier 2,Supermarket Type1
FD,15.2,Low Fat,0.084284513,Meat,254.933,14,Medium,Tier 3,Supermarket Type2
FD,13.35,Low Fat,0.06448577,snacks_breakfast_type,239.4564,25,,Tier 3,Grocery Store
FD,15.6,Regular,0.035499428,snacks_breakfast_type,115.7518,19,Small,Tier 2,Supermarket Type1
FD,6.4,Low Fat,0.084343183,Frozen Foods,39.7796,38,Medium,Tier 3,Supermarket Type3
FD,6.785,Regular,0.023068402,snacks_breakfast_type,209.7928,14,Medium,Tier 3,Supermarket Type2
FD,20.85,Low Fat,0.021450443,Fruits and Vegetables,103.6306,16,,Tier 2,Supermarket Type1
NC,8.42,Low Fat,0.070227182,others,217.1192,38,Medium,Tier 3,Supermarket Type3
DR,9.395,Low Fat,0.159334462,Drinks,224.372,26,Small,Tier 1,Supermarket Type1
FD,7.5,Low Fat,0.032468955,Frozen Foods,236.1906,38,Medium,Tier 3,Supermarket Type3
NC,17.7,Low Fat,0.051227193,others,127.2678,16,,Tier 2,Supermarket Type1
NC,16.35,Low Fat,0.034643462,others,127.402,36,High,Tier 3,Supermarket Type1
NC,17.1,Low Fat,0.038956669,others,165.1842,16,,Tier 2,Supermarket Type1
FD,12.1,Low Fat,0.114317778,Baking Goods,221.5114,38,Medium,Tier 3,Supermarket Type3
FD,11.65,Low Fat,0.039725274,snacks_breakfast_type,228.2694,38,Medium,Tier 3,Supermarket Type3
FD,6.3,Low Fat,0.127707501,others,211.327,21,,Tier 2,Supermarket Type1
FD,16.85,Regular,0.026573609,others,94.912,21,,Tier 2,Supermarket Type1
FD,18.25,Low Fat,0.060237241,Starchy Foods,164.9526,19,Small,Tier 2,Supermarket Type1
FD,15.2,Low Fat,0.091949401,snacks_breakfast_type,227.4352,21,,Tier 2,Supermarket Type1
FD,5.48,Low Fat,0.015095622,Frozen Foods,82.325,36,High,Tier 3,Supermarket Type1
FD,12.6,Low Fat,0.048881014,snacks_breakfast_type,63.7194,21,,Tier 2,Supermarket Type1
